date,rain_mm
2014.11.12,5
2014.11.13,
2014.11.14,0
2014.11.15,
2014.11.16,1
2014.11.17,1.5
2014.11.18,
2014.11.19,
2014.11.20,
2014.11.21,
2014.11.22,4
2014.11.23,
2014.11.24,
2014.11.25,
2014.11.26,
2014.11.27,
2014.11.28,18
2014.11.29,
2014.11.30,7
2014.12.1,0.5
2014.12.2,0
2014.12.3,0.9
2014.12.4,0
2014.12.5,
2014.12.6,
2014.12.7,
2014.12.8,
2014.12.9,
2014.12.10,2
2014.12.11,0.5
2014.12.12,0.1
2014.12.13,
2014.12.14,0
2014.12.15,10.5
2014.12.16,0
2014.12.17,
2014.12.18,
2014.12.19,0.9
2014.12.20,2
2014.12.21,0
2014.12.22,0.3
2014.12.23,
2014.12.24,0.2
2014.12.25,
2014.12.26,
2014.12.27,
2014.12.28,
2014.12.29,
2014.12.30,
2014.12.31,0
2015.3.1,0
2015.3.2,
2015.3.3,5.5
2015.3.4,
2015.3.5,
2015.3.6,
2015.3.7,
2015.3.8,
2015.3.9,
2015.3.10,
2015.3.11,
2015.3.12,
2015.3.13,0.1
2015.3.14,
2015.3.15,
2015.3.16,
2015.3.17,0
2015.3.18,1.5
2015.3.19,
2015.3.20,
2015.3.21,
2015.3.22,
2015.3.23,
2015.3.24,
2015.3.25,
2015.3.26,
2015.3.27,
2015.3.28,
2015.3.29,
2015.3.30,
2015.3.31,2.5
2015.4.1,2.5
2015.4.2,28
2015.4.3,3.5
2015.4.4,0
2015.4.5,0.5
2015.4.6,
2015.4.7,0
2015.4.8,
2015.4.9,
2015.4.10,
2015.4.11,
2015.4.12,
2015.4.13,6.5
2015.4.14,10.5
2015.4.15,1
2015.4.16,7
2015.4.17,
2015.4.18,0
2015.4.19,12
2015.4.20,5.5
2015.4.21,
2015.4.22,0
2015.4.23,
2015.4.24,
2015.4.25,
2015.4.26,
2015.4.27,
2015.4.28,0
2015.4.29,3.5
2015.4.30,
2015.5.1,
2015.5.2,0.5
2015.5.3,3.5
2015.5.4,
2015.5.5,
2015.5.6,
2015.5.7,
2015.5.8,
2015.5.9,
2015.5.10,
2015.5.11,14
2015.5.12,9.5
2015.5.13,0
2015.5.14,
2015.5.15,
2015.5.16,
2015.5.17,
2015.5.18,
2015.5.19,1
2015.5.20,
2015.5.21,
2015.5.22,
2015.5.23,
2015.5.24,
2015.5.25,
2015.5.26,
2015.5.27,
2015.5.28,
2015.5.29,
2015.5.30,0.4
2015.5.31,
2015.6.1,
2015.6.2,
2015.6.3,
2015.6.4,
2015.6.5,1
2015.6.6,
2015.6.7,
2015.6.8,
2015.6.9,
2015.6.10,
2015.6.11,7.5
2015.6.12,0.5
2015.6.13,0.5
2015.6.14,15.5
2015.6.15,
2015.6.16,
2015.6.17,9.5
2015.6.18,3
2015.6.19,
2015.6.20,44.5
2015.6.21,
2015.6.22,
2015.6.23,
2015.6.24,
2015.6.25,2
2015.6.26,12.5
2015.6.27,
2015.6.28,
2015.6.29,0
2015.6.30,2.5
2015.7.1,0.5
2015.7.2,
2015.7.3,
2015.7.4,
2015.7.5,
2015.7.6,
2015.7.7,
2015.7.8,0.5
2015.7.9,
2015.7.10,
2015.7.11,0
2015.7.12,29
2015.7.13,10
2015.7.14,
2015.7.15,
2015.7.16,
2015.7.17,
2015.7.18,0.5
2015.7.19,5
2015.7.20,
2015.7.21,11
2015.7.22,1
2015.7.23,16
2015.7.24,26.5
2015.7.25,80
2015.7.26,40.5
2015.7.27,1.5
2015.7.28,0
2015.7.29,4
2015.7.30,
2015.7.31,
2015.8.1,
2015.8.2,16.5
2015.8.3,0
2015.8.4,
2015.8.5,0.1
2015.8.6,
2015.8.7,11
2015.8.8,7.5
2015.8.9,
2015.8.10,
2015.8.11,
2015.8.12,
2015.8.13,0
2015.8.14,
2015.8.15,0.1
2015.8.16,29
2015.8.17,
2015.8.18,
2015.8.19,0
2015.8.20,0.4
2015.8.21,2.5
2015.8.22,0
2015.8.23,
2015.8.24,
2015.8.25,5.5
2015.8.26,0
2015.8.27,0
2015.8.28,0.3
2015.8.29,
2015.8.30,0
2015.8.31,
2015.9.1,
2015.9.2,0.5
2015.9.3,18
2015.9.4,
2015.9.5,5
2015.9.6,
2015.9.7,
2015.9.8,
2015.9.9,
2015.9.10,
2015.9.11,2.5
2015.9.12,
2015.9.13,
2015.9.14,
2015.9.15,
2015.9.16,
2015.9.17,
2015.9.18,
2015.9.19,
2015.9.20,
2015.9.21,
2015.9.22,
2015.9.23,
2015.9.24,
2015.9.25,
2015.9.26,
2015.9.27,
2015.9.28,0
2015.9.29,
2015.9.30,
2015.10.1,35
2015.10.2,
2015.10.3,
2015.10.4,
2015.10.5,
2015.10.6,
2015.10.7,
2015.10.8,
2015.10.9,
2015.10.10,3.5
2015.10.11,3.5
2015.10.12,
2015.10.13,
2015.10.14,
2015.10.15,
2015.10.16,
2015.10.17,
2015.10.18,
2015.10.19,
2015.10.20,
2015.10.21,
2015.10.22,
2015.10.23,
2015.10.24,10.5
2015.10.25,
2015.10.26,2
2015.10.27,26.5
2015.10.28,
2015.10.29,0.5
2015.10.30,
2015.10.31,
2015.11.1,
2015.11.2,
2015.11.3,
2015.11.4,
2015.11.5,
2015.11.6,4.5
2015.11.7,24.5
2015.11.8,10.5
2015.11.9,3.5
2015.11.10,
2015.11.11,
2015.11.12,
2015.11.13,22.5
2015.11.14,3.5
2015.11.15,
2015.11.16,5.5
2015.11.17,
2015.11.18,5.5
2015.11.19,
2015.11.20,
2015.11.21,
2015.11.22,3.5
2015.11.23,6.5
2015.11.24,0.5
2015.11.25,11
2015.11.26,0
2015.11.27,
2015.11.28,0.1
2015.11.29,3
2015.11.30,
2015.12.1,
2015.12.2,13.5
2015.12.3,7.1
2015.12.4,
2015.12.5,
2015.12.6,
2015.12.7,
2015.12.8,
2015.12.9,
2015.12.10,0.3
2015.12.11,
2015.12.12,
2015.12.13,
2015.12.14,2.5
2015.12.15,0.1
2015.12.16,
2015.12.17,
2015.12.18,0
2015.12.19,
2015.12.20,
2015.12.21,2
2015.12.22,
2015.12.23,0.4
2015.12.24,
2015.12.25,0
2015.12.26,0.7
2015.12.27,
2015.12.28,
2015.12.29,
2015.12.30,2.5
2015.12.31,
2016.3.1,
2016.3.2,
2016.3.3,
2016.3.4,0.1
2016.3.5,40
2016.3.6,0.2
2016.3.7,0
2016.3.8,
2016.3.9,
2016.3.10,
2016.3.11,
2016.3.12,
2016.3.13,0.1
2016.3.14,
2016.3.15,
2016.3.16,
2016.3.17,
2016.3.18,
2016.3.19,
2016.3.20,
2016.3.21,
2016.3.22,
2016.3.23,
2016.3.24,
2016.3.25,
2016.3.26,
2016.3.27,
2016.3.28,
2016.3.29,0.1
2016.3.30,
2016.3.31,
2016.4.1,
2016.4.2,
2016.4.3,2
2016.4.4,
2016.4.5,
2016.4.6,3
2016.4.7,7.5
2016.4.8,
2016.4.9,
2016.4.10,
2016.4.11,
2016.4.12,
2016.4.13,1
2016.4.14,
2016.4.15,
2016.4.16,23.5
2016.4.17,20.5
2016.4.18,1.5
2016.4.19,
2016.4.20,0.5
2016.4.21,17
2016.4.22,0
2016.4.23,
2016.4.24,
2016.4.25,
2016.4.26,
2016.4.27,
2016.4.28,
2016.4.29,0.3
2016.4.30,
2016.5.1,
2016.5.2,16.5
2016.5.3,27
2016.5.4,
2016.5.5,7.5
2016.5.6,9.5
2016.5.7,
2016.5.8,
2016.5.9,0
2016.5.10,13.5
2016.5.11,
2016.5.12,
2016.5.13,0.5
2016.5.14,
2016.5.15,45
2016.5.16,2.5
2016.5.17,
2016.5.18,
2016.5.19,
2016.5.20,
2016.5.21,
2016.5.22,
2016.5.23,
2016.5.24,38.5
2016.5.25,
2016.5.26,0
2016.5.27,
2016.5.28,
2016.5.29,
2016.5.30,
2016.5.31,
2016.6.1,
2016.6.2,
2016.6.3,
2016.6.4,
2016.6.5,
2016.6.6,0
2016.6.7,0.1
2016.6.8,
2016.6.9,
2016.6.10,
2016.6.11,3
2016.6.12,1.5
2016.6.13,
2016.6.14,0
2016.6.15,15.5
2016.6.16,0
2016.6.17,
2016.6.18,
2016.6.19,0
2016.6.20,
2016.6.21,
2016.6.22,30.5
2016.6.23,0.1
2016.6.24,3.5
2016.6.25,
2016.6.26,
2016.6.27,
2016.6.28,
2016.6.29,
2016.6.30,0.2
2016.7.1,108.5
2016.7.2,4
2016.7.3,
2016.7.4,29.5
2016.7.5,100.5
2016.7.6,0
2016.7.7,0
2016.7.8,
2016.7.9,
2016.7.10,
2016.7.11,0
2016.7.12,3
2016.7.13,0
2016.7.14,0.1
2016.7.15,1.5
2016.7.16,46.5
2016.7.17,2.5
2016.7.18,0.2
2016.7.19,
2016.7.20,
2016.7.21,
2016.7.22,
2016.7.23,0.5
2016.7.24,0.5
2016.7.25,
2016.7.26,
2016.7.27,0.5
2016.7.28,0.2
2016.7.29,59.5
2016.7.30,0.5
2016.7.31,0.2
